Name,Geography_Type,Year,Resident_Population,Percent_Pop_Change,Pop_Density,Pop_Density_Rank,Num_Reps,Change_Num_Reps,Apportionment_Per_Rep
Alabama,State,1910,2138093,16.9,42.2,25,10,1,213809
Alaska,State,1910,64356,1.2,0.1,52,,,
Arizona,State,1910,204354,66.2,1.8,49,,,
Arkansas,State,1910,1574449,20,30.3,30,7,0,224921
California,State,1910,2377549,60.1,15.3,38,11,3,216051
Colorado,State,1910,799024,48,7.7,42,4,1,199643
Connecticut,State,1910,1114756,22.7,230.2,6,5,0,222951
Delaware,State,1910,202322,9.5,103.8,11,1,0,202322
District of Columbia,State,1910,331069,18.8,5423.10,1,,,
Florida,State,1910,752619,42.4,14,40,4,1,188155
Georgia,State,1910,2609121,17.7,45.4,23,12,1,217427
Hawaii,State,1910,191909,24.6,29.9,31,,,
Idaho,State,1910,325594,101.3,3.9,46,2,1,161720
Illinois,State,1910,5638591,16.9,101.6,12,27,2,208837
Indiana,State,1910,2700876,7.3,75.4,13,13,0,207760
Iowa,State,1910,2224771,-0.3,39.8,26,11,0,202252
Kansas,State,1910,1690949,15,20.7,35,8,0,211369
Kentucky,State,1910,2289905,6.6,58,14,11,0,208173
Louisiana,State,1910,1656388,19.9,38.3,29,8,1,207049
Maine,State,1910,742371,6.9,24.1,33,4,0,185593
Maryland,State,1910,1295346,9,133.4,9,6,0,215891
Massachusetts,State,1910,3366416,20,431.6,3,16,2,210401
Michigan,State,1910,2810173,16.1,49.7,19,13,1,216167
Minnesota,State,1910,2075708,18.5,26.1,32,10,1,207438
Mississippi,State,1910,1797114,15.8,38.3,28,8,0,224639
Missouri,State,1910,3293335,6,47.9,21,16,0,205833
Montana,State,1910,376053,54.5,2.6,48,2,1,183169
Nebraska,State,1910,1192214,11.8,15.5,37,6,0,198702
Nevada,State,1910,81875,93.4,0.7,51,1,0,80293
New Hampshire,State,1910,430572,4.6,48.1,20,2,0,215286
New Jersey,State,1910,2537167,34.7,345,4,12,2,211431
New Mexico,State,1910,327301,67.6,2.7,47,,,
New York,State,1910,9113614,25.4,193.4,7,43,6,211836
North Carolina,State,1910,2206287,16.5,45.4,22,10,0,220629
North Dakota,State,1910,577056,80.8,8.4,41,3,1,191468
Ohio,State,1910,4767121,14.7,116.7,10,22,1,216687
Oklahoma,State,1910,1657155,109.7,24.2,33,8,8,207144
Oregon,State,1910,672765,62.7,7,44,3,1,224255
Pennsylvania,State,1910,7665111,21.6,171.3,8,36,4,212920
Puerto Rico,State,1910,1118012,17.3,326.5,5,,,
Rhode Island,State,1910,542610,26.6,524.9,2,3,1,180870
South Carolina,State,1910,1515400,13.1,50.4,18,7,0,216486
South Dakota,State,1910,583888,45.4,7.7,42,3,1,191892
Tennessee,State,1910,2184789,8.1,53,15,10,0,218479
Texas,State,1910,3896542,27.8,14.9,39,18,2,216475
Utah,State,1910,373351,34.9,4.5,45,2,1,185932
Vermont,State,1910,355956,3.6,38.6,27,2,0,177978
Virginia,State,1910,2061612,11.2,52.2,16,10,0,206161
Washington,State,1910,1141990,120.4,17.2,36,5,2,228027
West Virginia,State,1910,1221119,27.4,50.8,17,6,1,203520
Wisconsin,State,1910,2333860,12.8,43.1,24,11,0,212078
Wyoming,State,1910,145965,57.7,1.5,50,1,0,144658
Midwest Region,Region,1910,29888542,13.5,,,,,
Northeast Region,Region,1910,25868573,22.9,,,,,
South Region,Region,1910,29389330,19.8,,,,,
West Region,Region,1910,7082086,64.4,,,,,
United States,Nation,1910,92228531,21,26,,433,47,210328
Alabama,State,1920,2348174,9.8,46.4,25,10,0,234817
Alaska,State,1920,55036,-14.5,0.1,52,,,
Arizona,State,1920,334162,63.5,2.9,49,1,1,309495
Arkansas,State,1920,1752204,11.3,33.7,31,7,0,250315
California,State,1920,3426861,44.1,22,35,11,0,311457
Colorado,State,1920,939629,17.6,9.1,42,4,0,234790
Connecticut,State,1920,1380631,23.9,285.1,6,5,0,276126
Delaware,State,1920,223003,10.2,114.4,12,1,0,223003
District of Columbia,State,1920,437571,32.2,7167.60,1,,,
Florida,State,1920,968470,28.7,18.1,38,4,0,242118
Georgia,State,1920,2895832,11,50.4,21,12,0,241319
Hawaii,State,1920,255912,33.4,39.8,28,,,
Idaho,State,1920,431866,32.6,5.2,46,2,0,215221
Illinois,State,1920,6485280,15,116.8,11,27,0,240196
Indiana,State,1920,2930390,8.5,81.8,13,13,0,225415
Iowa,State,1920,2404021,8.1,43,26,11,0,218547
Kansas,State,1920,1769257,4.6,21.6,36,8,0,221157
Kentucky,State,1920,2416630,5.5,61.2,15,11,0,219694
Louisiana,State,1920,1798509,8.6,41.6,27,8,0,224814
Maine,State,1920,768014,3.5,24.9,34,4,0,192004
Maryland,State,1920,1449661,11.9,149.3,9,6,0,241610
Massachusetts,State,1920,3852356,14.4,493.9,3,16,0,240772
Michigan,State,1920,3668412,30.5,64.9,14,13,0,282186
Minnesota,State,1920,2387125,15,30,32,10,0,238566
Mississippi,State,1920,1790618,-0.4,38.2,29,8,0,223827
Missouri,State,1920,3404055,3.4,49.5,22,16,0,212753
Montana,State,1920,548889,46,3.8,47,2,0,270756
Nebraska,State,1920,1296372,8.7,16.9,40,6,0,216062
Nevada,State,1920,77407,-5.5,0.7,51,1,0,75820
New Hampshire,State,1920,443083,2.9,49.5,22,2,0,221542
New Jersey,State,1920,3155900,24.4,429.1,4,12,0,262992
New Mexico,State,1920,360350,10.1,3,48,1,1,353428
New York,State,1920,10385227,14,220.4,7,43,0,241409
North Carolina,State,1920,2559123,16,52.6,20,10,0,255912
North Dakota,State,1920,646872,12.1,9.4,41,3,0,214651
Ohio,State,1920,5759394,20.8,141,10,22,0,261791
Oklahoma,State,1920,2028283,22.4,29.6,33,8,0,253535
Oregon,State,1920,783389,16.4,8.2,44,3,0,261130
Pennsylvania,State,1920,8720017,13.8,194.9,8,36,0,242223
Puerto Rico,State,1920,1299809,16.3,379.6,5,,,
Rhode Island,State,1920,604397,11.4,584.6,2,3,0,201466
South Carolina,State,1920,1683724,11.1,56,19,7,0,240532
South Dakota,State,1920,636547,9,8.4,43,3,0,210413
Tennessee,State,1920,2337885,7,56.7,18,10,0,233789
Texas,State,1920,4663228,19.7,17.9,39,18,0,259068
Utah,State,1920,449396,20.4,5.5,45,2,0,224194
Vermont,State,1920,352428,-1,38.2,30,2,0,176214
Virginia,State,1920,2309187,12,58.5,17,10,0,230919
Washington,State,1920,1356621,18.8,20.4,37,5,0,270919
West Virginia,State,1920,1463701,19.9,60.9,15,6,0,243950
Wisconsin,State,1920,2632067,12.8,48.6,24,11,0,239210
Wyoming,State,1920,194402,33.2,2,50,1,0,193487
Midwest Region,Region,1920,34019792,13.8,,,,,
Northeast Region,Region,1920,29662053,14.7,,,,,
South Region,Region,1920,33125803,12.7,,,,,
West Region,Region,1920,9213920,30.1,,,,,
United States,Nation,1920,106021568,15,29.9,,435,0,241864
Alabama,State,1930,2646248,12.7,52.3,24,9,-1,294027
Alaska,State,1930,59278,7.7,0.1,52,,,
Arizona,State,1930,435573,30.3,3.8,47,1,1,389375
Arkansas,State,1930,1854482,5.8,35.6,32,7,0,264921
California,State,1930,5677251,65.7,36.4,31,20,9,283412
Colorado,State,1930,1035791,10.2,10,41,4,0,258712
Connecticut,State,1930,1606903,16.4,331.8,6,6,1,267816
Delaware,State,1930,238380,6.9,122.3,12,1,0,238380
District of Columbia,State,1930,486869,11.3,7975.10,1,,,
Florida,State,1930,1468211,51.6,27.4,35,5,1,293638
Georgia,State,1930,2908506,0.4,50.6,26,10,-2,290845
Hawaii,State,1930,368336,43.9,57.3,21,,,
Idaho,State,1930,445032,3,5.4,46,2,0,220768
Illinois,State,1930,7630654,17.7,137.4,11,27,0,282607
Indiana,State,1930,3238503,10.5,90.4,13,12,-1,269873
Iowa,State,1930,2470939,2.8,44.2,28,9,-2,274491
Kansas,State,1930,1880999,6.3,23,38,7,-1,268500
Kentucky,State,1930,2614589,8.2,66.2,16,9,-2,290508
Louisiana,State,1930,2101593,16.9,48.6,27,8,0,262699
Maine,State,1930,797423,3.8,25.9,36,3,-1,265806
Maryland,State,1930,1631526,12.5,168.1,9,6,0,271920
Massachusetts,State,1930,4249614,10.3,544.8,4,15,-1,283307
Michigan,State,1930,4842325,32,85.6,14,17,4,284827
Minnesota,State,1930,2563953,7.4,32.2,34,9,-1,283509
Mississippi,State,1930,2009821,12.2,42.8,29,7,-1,286879
Missouri,State,1930,3629367,6.6,52.8,23,13,-3,279162
Montana,State,1930,537606,-2.1,3.7,48,2,0,262365
Nebraska,State,1930,1377963,6.3,17.9,40,5,-1,275025
Nevada,State,1930,91058,17.6,0.8,51,1,0,86390
New Hampshire,State,1930,465293,5,52,25,2,0,232646
New Jersey,State,1930,4041334,28.1,549.5,3,14,2,288666
New Mexico,State,1930,423317,17.5,3.5,49,1,1,395982
New York,State,1930,12588066,21.2,267.1,7,45,2,279733
North Carolina,State,1930,3170276,23.9,65.2,17,11,1,287934
North Dakota,State,1930,680845,5.3,9.9,42,2,-1,336670
Ohio,State,1930,6646697,15.4,162.7,10,24,2,276943
Oklahoma,State,1930,2396040,18.1,34.9,33,9,1,264691
Oregon,State,1930,953786,21.8,9.9,42,3,0,316793
Pennsylvania,State,1930,9631350,10.5,215.3,8,34,-2,283274
Puerto Rico,State,1930,1543913,18.8,450.9,5,,,
Rhode Island,State,1930,687497,13.7,665,2,2,-1,343749
South Carolina,State,1930,1738765,3.3,57.8,20,6,-1,289793
South Dakota,State,1930,692849,8.8,9.1,44,2,-1,336503
Tennessee,State,1930,2616556,11.9,63.5,18,9,-1,290722
Texas,State,1930,5824715,24.9,22.3,39,21,3,277362
Utah,State,1930,507847,13,6.2,45,2,0,252871
Vermont,State,1930,359611,2,39,30,1,-1,359611
Virginia,State,1930,2421851,4.9,61.3,19,9,-1,269092
Washington,State,1930,1563396,15.2,23.5,37,6,1,258737
West Virginia,State,1930,1729205,18.1,71.9,15,6,0,288200
Wisconsin,State,1930,2939006,11.7,54.3,22,10,-1,293172
Wyoming,State,1930,225565,16,2.3,50,1,0,223630
Midwest Region,Region,1930,38594100,13.4,,,,,
Northeast Region,Region,1930,34427091,16.1,,,,,
South Region,Region,1930,37857633,14.3,,,,,
West Region,Region,1930,12323836,33.8,,,,,
United States,Nation,1930,123202660,16.2,34.7,,435,27,280675
Alabama,State,1940,2832961,7.1,55.9,23,9,0,314773
Alaska,State,1940,72524,22.3,0.1,52,,,
Arizona,State,1940,499261,14.6,4.4,47,2,1,249631
Arkansas,State,1940,1949387,5.1,37.5,32,7,0,278484
California,State,1940,6907387,21.7,44.3,30,23,3,300321
Colorado,State,1940,1123296,8.4,10.8,42,4,0,280824
Connecticut,State,1940,1709242,6.4,353,6,6,0,284874
Delaware,State,1940,266505,11.8,136.8,12,1,0,266505
District of Columbia,State,1940,663091,36.2,10861.70,1,,,
Florida,State,1940,1897414,29.2,35.4,33,6,1,316236
Georgia,State,1940,3123723,7.4,54.3,27,10,0,312372
Hawaii,State,1940,423330,14.9,65.9,20,,,
Idaho,State,1940,524873,17.9,6.4,46,2,0,262437
Illinois,State,1940,7897241,3.5,142.2,11,26,-1,303740
Indiana,State,1940,3427796,5.8,95.7,13,11,-1,311618
Iowa,State,1940,2538268,2.7,45.4,29,8,-1,317284
Kansas,State,1940,1801028,-4.3,22,39,6,-1,300171
Kentucky,State,1940,2845627,8.8,72.1,17,9,0,316181
Louisiana,State,1940,2363880,12.5,54.7,26,8,0,295485
Maine,State,1940,847226,6.2,27.5,36,3,0,282409
Maryland,State,1940,1821244,11.6,187.6,9,6,0,303541
Massachusetts,State,1940,4316721,1.6,553.4,4,14,-1,308337
Michigan,State,1940,5256106,8.5,93,14,17,0,309183
Minnesota,State,1940,2792300,8.9,35.1,34,9,0,310256
Mississippi,State,1940,2183796,8.7,46.5,28,7,0,311971
Missouri,State,1940,3784664,4.3,55.1,24,13,0,291128
Montana,State,1940,559456,4.1,3.8,49,2,0,279728
Nebraska,State,1940,1315834,-4.5,17.1,40,4,-1,328959
Nevada,State,1940,110247,21.1,1,51,1,0,110247
New Hampshire,State,1940,491524,5.6,54.9,25,2,0,245762
New Jersey,State,1940,4160165,2.9,565.7,3,14,0,297155
New Mexico,State,1940,531818,25.6,4.4,47,2,1,265909
New York,State,1940,13479142,7.1,286,7,45,0,299536
North Carolina,State,1940,3571623,12.7,73.5,16,12,1,297635
North Dakota,State,1940,641935,-5.7,9.3,43,2,0,320968
Ohio,State,1940,6907612,3.9,169.1,10,23,-1,300331
Oklahoma,State,1940,2336434,-2.5,34.1,35,8,-1,292054
Oregon,State,1940,1089684,14.2,11.4,41,4,1,272421
Pennsylvania,State,1940,9900180,2.8,221.3,8,33,-1,300005
Puerto Rico,State,1940,1869255,21.1,546,5,,,
Rhode Island,State,1940,713346,3.8,690,2,2,0,356673
South Carolina,State,1940,1899804,9.3,63.2,21,6,0,316634
South Dakota,State,1940,642961,-7.2,8.5,44,2,0,321481
Tennessee,State,1940,2915841,11.4,70.7,18,10,1,291584
Texas,State,1940,6414824,10.1,24.6,38,21,0,305468
Utah,State,1940,550310,8.4,6.7,45,2,0,275155
Vermont,State,1940,359231,-0.1,39,31,1,0,359231
Virginia,State,1940,2677773,10.6,67.8,19,9,0,297530
Washington,State,1940,1736191,11.1,26.1,37,6,0,289365
West Virginia,State,1940,1901974,10,79.1,15,6,0,316996
Wisconsin,State,1940,3137587,6.8,57.9,22,10,0,313759
Wyoming,State,1940,250742,11.2,2.6,50,1,0,250742
Midwest Region,Region,1940,40143332,4,,,,,
Northeast Region,Region,1940,35976777,4.5,,,,,
South Region,Region,1940,41665901,10.1,,,,,
West Region,Region,1940,14379119,16.7,,,,,
United States,Nation,1940,132165129,7.3,37.2,,435,9,301164
Alabama,State,1950,3061743,8.1,60.5,24,9,0,340194
Alaska,State,1950,128643,77.4,0.2,52,,,
Arizona,State,1950,749587,50.1,6.6,47,2,0,374794
Arkansas,State,1950,1909511,-2,36.7,34,6,-1,318252
California,State,1950,10586223,53.3,68,22,30,7,352874
Colorado,State,1950,1325089,18,12.8,42,4,0,331272
Connecticut,State,1950,2007280,17.4,414.5,6,6,0,334547
Delaware,State,1950,318085,19.4,163.2,11,1,0,318085
District of Columbia,State,1950,802178,21,13140.00,1,,,
Florida,State,1950,2771305,46.1,51.7,29,8,2,346413
Georgia,State,1950,3444578,10.3,59.9,27,10,0,344458
Hawaii,State,1950,499794,18.1,77.8,19,,,
Idaho,State,1950,588637,12.1,7.1,46,2,0,294319
Illinois,State,1950,8712176,10.3,156.9,12,25,-1,348487
Indiana,State,1950,3934224,14.8,109.8,14,11,0,357657
Iowa,State,1950,2621073,3.3,46.9,30,8,0,327634
Kansas,State,1950,1905299,5.8,23.3,39,6,0,317550
Kentucky,State,1950,2944806,3.5,74.6,20,8,-1,368101
Louisiana,State,1950,2683516,13.5,62.1,25,8,0,335440
Maine,State,1950,913774,7.9,29.6,37,3,0,304591
Maryland,State,1950,2343001,28.6,241.4,8,7,1,334714
Massachusetts,State,1950,4690514,8.7,601.3,5,14,0,335037
Michigan,State,1950,6371766,21.2,112.7,13,18,1,353987
Minnesota,State,1950,2982483,6.8,37.5,33,9,0,331387
Mississippi,State,1950,2178914,-0.2,46.4,31,6,-1,363152
Missouri,State,1950,3954653,4.5,57.5,28,11,-2,359514
Montana,State,1950,591024,5.6,4.1,49,2,0,295512
Nebraska,State,1950,1325510,0.7,17.3,40,4,0,331378
Nevada,State,1950,160083,45.2,1.5,51,1,0,160083
New Hampshire,State,1950,533242,8.5,59.6,26,2,0,266621
New Jersey,State,1950,4835329,16.2,657.5,4,14,0,345381
New Mexico,State,1950,681187,28.1,5.6,48,2,0,340594
New York,State,1950,14830192,10,314.7,7,43,-2,344888
North Carolina,State,1950,4061929,13.7,83.5,17,12,0,338494
North Dakota,State,1950,619636,-3.5,9,43,2,0,309818
Ohio,State,1950,7946627,15,194.5,10,23,0,345506
Oklahoma,State,1950,2233351,-4.4,32.6,36,6,-2,372225
Oregon,State,1950,1521341,39.6,15.8,41,4,0,380335
Pennsylvania,State,1950,10498012,6,234.6,9,30,-3,349934
Puerto Rico,State,1950,2210703,18.3,645.7,2,,,
Rhode Island,State,1950,791896,11,766,3,2,0,395948
South Carolina,State,1950,2117027,11.4,70.4,21,6,0,352838
South Dakota,State,1950,652740,1.5,8.6,44,2,0,326370
Tennessee,State,1950,3291718,12.9,79.8,18,9,-1,365746
Texas,State,1950,7711194,20.2,29.5,38,22,1,350509
Utah,State,1950,688862,25.2,8.4,45,2,0,344431
Vermont,State,1950,377747,5.2,41,32,1,0,377747
Virginia,State,1950,3318680,23.9,84,16,10,1,331868
Washington,State,1950,2378963,37,35.8,35,7,1,339852
West Virginia,State,1950,2005552,5.4,83.4,15,6,0,334259
Wisconsin,State,1950,3434575,9.5,63.4,23,10,0,343458
Wyoming,State,1950,290529,15.9,3,50,1,0,290529
Midwest Region,Region,1950,44460762,10.8,,,,,
Northeast Region,Region,1950,39477986,9.7,,,,,
South Region,Region,1950,47197088,13.3,,,,,
West Region,Region,1950,20189962,40.4,,,,,
United States,Nation,1950,151325798,14.5,42.6,,435,14,344587
Alabama,State,1960,3266740,6.7,64.5,28,8,-1,408343
Alaska,State,1960,226167,75.8,0.4,52,1,1,226167
Arizona,State,1960,1302161,73.7,11.5,43,3,1,434054
Arkansas,State,1960,1786272,-6.5,34.3,36,4,-2,446568
California,State,1960,15717204,48.5,100.9,15,38,8,413611
Colorado,State,1960,1753947,32.4,16.9,42,4,0,438487
Connecticut,State,1960,2535234,26.3,523.6,6,6,0,422539
Delaware,State,1960,446292,40.3,229,11,1,0,446292
District of Columbia,State,1960,763956,-4.8,12513.90,1,,,
Florida,State,1960,4951560,78.7,92.3,19,12,4,412630
Georgia,State,1960,3943116,14.5,68.6,26,10,0,394312
Hawaii,State,1960,632772,26.6,98.5,17,2,2,316386
Idaho,State,1960,667191,13.3,8.1,47,2,0,333596
Illinois,State,1960,10081158,15.7,181.6,12,24,-1,420048
Indiana,State,1960,4662498,18.5,130.1,14,11,0,423863
Iowa,State,1960,2757537,5.2,49.4,30,7,-1,393934
Kansas,State,1960,2178611,14.3,26.6,39,5,-1,435722
Kentucky,State,1960,3038156,3.2,76.9,23,7,-1,434022
Louisiana,State,1960,3257022,21.4,75.4,24,8,0,407128
Maine,State,1960,969265,6.1,31.4,38,2,-1,484633
Maryland,State,1960,3100689,32.3,319.4,8,8,1,387586
Massachusetts,State,1960,5148578,9.8,660.1,5,12,-2,429048
Michigan,State,1960,7823194,22.8,138.4,13,19,1,411747
Minnesota,State,1960,3413864,14.5,42.9,32,8,-1,426733
Mississippi,State,1960,2178141,0,46.4,31,5,-1,435628
Missouri,State,1960,4319813,9.2,62.8,29,10,-1,431981
Montana,State,1960,674767,14.2,4.6,49,2,0,337384
Nebraska,State,1960,1411330,6.5,18.4,40,3,-1,470443
Nevada,State,1960,285278,78.2,2.6,51,1,0,285278
New Hampshire,State,1960,606921,13.8,67.8,27,2,0,303461
New Jersey,State,1960,6066782,25.5,824.9,3,15,1,404452
New Mexico,State,1960,951023,39.6,7.8,48,2,0,475512
New York,State,1960,16782304,13.2,356.1,7,41,-2,409324
North Carolina,State,1960,4556155,12.2,93.7,18,11,-1,414196
North Dakota,State,1960,632446,2.1,9.2,45,2,0,316223
Ohio,State,1960,9706397,22.1,237.5,10,24,1,404433
Oklahoma,State,1960,2328284,4.3,33.9,37,6,0,388047
Oregon,State,1960,1768687,16.3,18.4,40,4,0,442172
Pennsylvania,State,1960,11319366,7.8,253,9,27,-3,419236
Puerto Rico,State,1960,2349544,6.3,686.2,4,,,
Rhode Island,State,1960,859488,8.5,831.4,2,2,0,429744
South Carolina,State,1960,2382594,12.5,79.3,21,6,0,397099
South Dakota,State,1960,680514,4.3,9,46,2,0,340257
Tennessee,State,1960,3567089,8.4,86.5,20,9,0,396343
Texas,State,1960,9579677,24.2,36.7,35,23,1,416508
Utah,State,1960,890627,29.3,10.8,44,2,0,445314
Vermont,State,1960,389881,3.2,42.3,34,1,0,389881
Virginia,State,1960,3966949,19.5,100.5,16,10,0,396695
Washington,State,1960,2853214,19.9,42.9,32,7,0,407602
West Virginia,State,1960,1860421,-7.2,77.4,22,5,-1,372084
Wisconsin,State,1960,3951777,15.1,73,25,10,0,395178
Wyoming,State,1960,330066,13.6,3.4,50,1,0,330066
Midwest Region,Region,1960,51619139,16.1,,,,,
Northeast Region,Region,1960,44677819,13.2,,,,,
South Region,Region,1960,54973113,16.5,,,,,
West Region,Region,1960,28053104,38.9,,,,,
United States,Nation,1960,179323175,18.5,50.6,,435,21,410481
Alabama,State,1970,3444165,5.4,68,28,7,-1,496555
